threshold,normal_mean,normal_std,pcos_mean,pcos_std,separation,cohens_d,correct_direction
0.01,185.31,30.1422278539593,156.55,26.062377098031565,-28.75999999999999,-1.020718037151801,False
0.02,163.48,29.680458217487143,139.69,23.88836327587137,-23.789999999999992,-0.8830563713888248,False
0.03,140.06,27.795618359734327,127.48,22.268129692455087,-12.579999999999998,-0.49952384408232753,False
0.04,116.07,27.790377831184664,117.31,21.338554309043523,1.240000000000009,0.05004968455308019,True
0.05,97.21,24.738753000100875,106.76,20.077410191556083,9.550000000000011,0.423898793052661,True
0.060000000000000005,81.09,21.452783036240312,97.93,19.46445735179895,16.840000000000003,0.8221547848718379,True
0.06999999999999999,67.67,18.717935249380474,89.65,18.43278329498831,21.980000000000004,1.1832531603854304,True
0.08,56.15,15.815419690921896,81.37,17.17245177602779,25.220000000000006,1.527754674871483,True
0.09,46.23,13.833188352653918,73.24,15.594306653391165,27.009999999999998,1.8324196988124182,True
0.09999999999999999,38.85,13.058617844167124,65.55,14.48128102068322,26.699999999999996,1.9364229179872874,True
0.11,32.16,10.987010512418745,59.05,13.292385038058445,26.89,2.205128644131829,True
0.12,25.79,9.031384168553567,52.2,11.602585918664856,26.410000000000004,2.5402105562228687,True
0.13,21.31,7.612745890938433,45.56,10.219902152173475,24.250000000000004,2.691121631671253,True
0.14,17.86,6.649842103388621,40.17,9.865145716105769,22.310000000000002,2.6519948186590248,True
0.15000000000000002,14.0,5.75325994545701,34.6,9.757048734120374,20.6,2.571987715872717,True
0.16,10.79,5.105477450738569,29.04,10.215595919964727,18.25,2.2599488479916685,True
0.17,8.41,4.791857677352281,22.68,9.02760211794915,14.27,1.9745357423007064,True
0.18000000000000002,7.15,4.546152219184923,18.4,8.0820789404707,11.249999999999998,1.7157336107156553,True
0.19,5.73,4.056735140479349,15.48,7.756906599927576,9.75,1.5751776905318586,True
0.2,4.66,3.3323265146140764,12.57,7.523636089019725,7.91,1.3594607646495547,True
0.21000000000000002,3.76,2.939795911283639,10.58,7.01310202406895,6.82,1.268346154633223,True
0.22,3.2,2.6608269391300143,8.43,5.826242356785376,5.2299999999999995,1.1547603474985102,True
0.23,2.57,2.136609463612852,6.02,4.641077461107496,3.4499999999999997,0.9549370412671094,True
0.24000000000000002,1.74,1.5337535656030272,4.54,3.710579469570757,2.8,0.9862334631561335,True
0.25,1.15,1.1947803145348521,3.76,3.4644480079804922,2.61,1.007207881996365,True
0.26,0.66,0.9820386957752734,3.05,3.134884367883447,2.3899999999999997,1.028878145834349,True
0.27,0.42,0.7639371701913713,2.4,2.753179979587241,1.98,0.9800299083173589,True
0.28,0.24,0.5499090833947008,1.93,2.6990924400620298,1.69,0.8676655418918575,True
0.29000000000000004,0.15,0.4330127018922193,1.69,2.587257234988434,1.54,0.8302278871026418,True
0.3,0.12,0.38157568056677826,1.38,2.509103425528729,1.2599999999999998,0.7021051373697591,True
0.31,0.11,0.3433656942677879,1.22,2.364656423246303,1.1099999999999999,0.6569600155541857,True
0.32,0.1,0.30000000000000004,1.04,2.2974768769239007,0.9400000000000001,0.5737469866146837,True
0.33,0.09,0.2861817604250837,0.89,2.1396027668705235,0.8,0.5241086727522394,True
0.34,0.09,0.2861817604250837,0.55,1.86748493969831,0.4600000000000001,0.34433028327374915,True
0.35000000000000003,0.08,0.2712931993250107,0.51,1.841168107479597,0.43,0.3267577202863154,True
0.36000000000000004,0.08,0.2712931993250107,0.46,1.8189007669468937,0.38,0.292221249102399,True
0.37,0.07,0.25514701644346144,0.44,1.818350901228913,0.37,0.28497393539214155,True
0.38,0.07,0.25514701644346144,0.41,1.8171130949943644,0.33999999999999997,0.26204287562623924,True
0.39,0.07,0.25514701644346144,0.38,1.815378748360794,0.31,0.23914528277159802,True
0.4,0.07,0.25514701644346144,0.37,1.7925122035846792,0.3,0.23432494813616514,True
0.41000000000000003,0.07,0.25514701644346144,0.31,1.5664928981645594,0.24,0.21385142857918732,True
0.42000000000000004,0.07,0.25514701644346144,0.15,0.4769696007084729,0.07999999999999999,0.20915479424640082,True
0.43,0.07,0.25514701644346144,0.07,0.32419130154894654,0.0,0.0,False
0.44,0.03,0.1705872210923198,0.05,0.2598076211353316,0.020000000000000004,0.09100315103865804,True
0.45,0.01,0.09949874371066199,0.02,0.13999999999999999,0.01,0.08233869695926184,True
0.46,0.0,0.0,0.0,0.0,0.0,0.0,False
0.47000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,False
0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,False
0.49,0.0,0.0,0.0,0.0,0.0,0.0,False
0.5,0.0,0.0,0.0,0.0,0.0,0.0,False
